ID;PUNTO DE MEDICION;ESTADO;FECHA;DIAF;MESF;ANOF;HORA;HORARIO;CAUDAL ACUMULADO ANTERIOR;CAUDAL ACUMULADO;LECTURA MES ANTERIOR;LECTURA REGISTRO;INSTRUMENTO
;29 Catarata;Operacion Correcta;1/6/22;1;6;2022;2:35:00 p. m.;PM;13.131,00;41.547,00;11,16;18,69;
BM16;Arrieta;Operacion Correcta;1/6/22;1;6;2022;1:42:00 p. m.;PM;3.385.386,60;3.459.177,40;23,24;30,87; MA 
;La Anexa;Datos Irregulares;1/6/22;1;6;2022;1:47:00 p. m.;PM;91.823,00;101.147,00;8,08;; M1 
BM03;Carlos Steinvorth;Operacion Correcta;1/6/22;1;6;2022;1:54:00 p. m.;PM;3.201.826,70;3.226.963,30;15,84;24,13; MA 
;29 A;Datos Irregulares;1/6/22;1;6;2022;2:00:00 p. m.;PM;19.003,00;;12,76;; M1 
BM14;Sacramento;Operacion Correcta;1/6/22;1;6;2022;3:13:00 p. m.;PM;3.016.250,00;3.068.050,00;14,15;28,97; MA 
BM19;"Marin Cañas Electromagnetico 2""";Operacion Correcta;1/6/22;1;6;2022;2:46:00 p. m.;PM;190.728,00;192.737,00;1,09;0,67; MA 
BM13;"Llegada al Tanque Marin Cañas  ( 6"")";Operacion Correcta;1/6/22;1;6;2022;2:51:00 p. m.;PM;9.608.044,00;9.747.511,00;52,9;125,77; MA 
BM20;"Chorreras a San Isidro  II  (6"")  J";Operacion Correcta;1/6/22;1;6;2022;10:13:00 a. m.;AM;5.897.974,00;5.944.536,00;18,5;24,03; MA 
BM18;"Chorreras a San Isidro I  (6"")    J";Operacion Correcta;1/6/22;1;6;2022;10:12:00 a. m.;AM;7.866.463,00;7.946.942,00;29,99;20,14; MA 
BM15;"Marin Cañas Chorreras  ( 8"")";Operacion Correcta;1/6/22;1;6;2022;10:15:00 a. m.;AM;6.617.626,00;6.811.148,00;28,9;122,6; MA 
BM10;"El Higueron 8""  (6"")";Operacion Correcta;1/6/22;1;6;2022;10:22:00 a. m.;AM;5.990.736,00;6.086.121,00;32,94;40,87; MA 
BM11;"LA Gemela #1 (6"")";Operacion Correcta;1/6/22;1;6;2022;10:26:00 a. m.;AM;3.875.617,00;3.895.228,00;7,58;8,2; MA 
BM12;"LA Gemela #2  (6"")";Operacion Correcta;1/6/22;1;6;2022;10:28:00 a. m.;AM;5.655.542,00;5.705.988,00;19,11;23,71; MA 
BM06;Chorreras Naciente 350 mm  (Intrusivo);Macromedidor en mal estado;2/6/22;2;6;2022;;AM;;;65,35;94,5; M2 
SRM20;"Marin Cañas  Brasilia (4"") (en Tanque Brasilia)";Operacion Correcta;1/6/22;1;6;2022;10:49:00 a. m.;AM;753.500,00;806.892,00;21,55;20,46; MA 
SRM21;"Conducción Flores al Tirol (6"") Llegando";Operacion Correcta;1/6/22;1;6;2022;11:02:00 a. m.;AM;1.061.731,00;1.215.797,00;42,25;68,2; M1 
SRM24;"Purificador Chalet Ingreso  Sn Rafael (6"")";Operacion Correcta;1/6/22;1;6;2022;11:08:00 a. m.;AM;1.209.439,00;1.283.123,00;28,28;27,73; MA 
SRM23;"Purificador Chalet Salida  Sn Rafael (6"")";Operacion Correcta;1/6/22;1;6;2022;11:10:00 a. m.;AM;1.046.439,00;1.113.695,00;27,76;27,46; MA 
;Mata Plátano;Operacion Correcta;1/6/22;1;6;2022;8:12:00 a. m.;AM;8.597,04;37.106,00;12,2;9,67;
SPM01;"Pozo Miraflores        ( 8"" )";Operacion Correcta;30/6/22;30;6;2022;1:15:00 p. m.;PM;2.973.699,00;2.999.805,00;48;  ; MA 
HM26;"Pozo La Esperanza I A ( 6"" )";Operacion Correcta;30/6/22;30;6;2022;1:28:00 p. m.;PM;4.761.983,00;4.884.444,00;49,4;49,5; MA 
HM15;"Pozo La Esperanza II  ( 6"" )";Operacion Correcta;30/6/22;30;6;2022;1:36:00 p. m.;PM;4.292,00;4.293,00;  ;  ; MA 
HM07;Pozo Real Santamaría;Operacion Correcta;30/6/22;30;6;2022;1:44:00 p. m.;PM;16.006.492,00;16.188.346,00;73,89;72,71; MA 
HM17;"Pozo Trebol (8"")";Operacion Correcta;30/6/22;30;6;2022;1:57:00 p. m.;PM;3.468.237,00;3.641.865,00;68,4;68,5; MA 
HM10;"Pozo Monte Alegre ( 6"" )";Operacion Correcta;30/6/22;30;6;2022;2:08:00 p. m.;PM;752.434,73;787.954,21;19;  ; MA 
HM12;"Pozo Granada ( 10"" )";Operacion Correcta;30/6/22;30;6;2022;2:09:00 p. m.;PM;3.561.170,00;3.646.535,00;34,5;34; MA 
HM21;"Pozo Aurora II  ( 4"" )";Operacion Correcta;30/6/22;30;6;2022;1:59:00 p. m.;PM;156.460,00;156.663,30;  ;  ; MA 
HM20;"Pozo Aurora III  ( 4"" )";Operacion Correcta;30/6/22;30;6;2022;1:53:00 p. m.;PM;135.775,73;135.775,73;  ;  ; MA 
HM11;"Pozo Malinches   I ( 6"" )";Operacion Correcta;30/6/22;30;6;2022;1:39:00 p. m.;PM;301.004,63;415.930,45;48,45;49,06; MA 
HM22;Medidor para venta de agua Malinches;Operacion Correcta;30/6/22;30;6;2022;1:38:00 p. m.;PM;960,67;960,67;  ;  ; MA 
HM14;"Pozo Malinches  II  ( 6"" )";Macromedidor en mal estado;30/6/22;30;6;2022;1:35:00 p. m.;PM;;140.467,00;  ;81,49; M2 
HM06;"Pozo San Vicente        ( 10"" )";Operacion Correcta;30/6/22;30;6;2022;1:26:00 p. m.;PM;7.384.403,00;7.514.750,00;52,7;52,86; MA 
HM18;"Pozo Claretiano         ( 10"" )";Operacion Correcta;30/6/22;30;6;2022;11:38:00 a. m.;AM;5.277.803,00;5.397.256,00;48,5;47,5; MA 
HM19;"Pozo Boruca (8"")";Operacion Correcta;30/6/22;30;6;2022;11:30:00 a. m.;AM;36.755,04;95.408,60;23,47;23,52; MA 
BM17;"Pozo Malinches Real  ( 8"" )";Operacion Correcta;30/6/22;30;6;2022;11:23:00 a. m.;AM;1.170.505,50;1.171.998,00;29,23;  ; MA 
SRM28;"Pozo Los Altos I  ( 4"" )";Operacion Correcta;30/6/22;30;6;2022;11:07:00 a. m.;AM;302.493,00;302.506,00;  ;  ; MA 
SRM37;Pozo Los Altos II ;Operacion Correcta;30/6/22;30;6;2022;11:12:00 a. m.;AM;1.753.953,60;1.765.537,30;29,11;  ; MA 
SRM32;"Pozo Matasanos      ( 4"" )";Operacion Correcta;30/6/22;30;6;2022;11:00:00 a. m.;AM;443.321,00;443.365,00;  ;  ; MA 
SRM26;Pozo Joya 1;Operacion Correcta;30/6/22;30;6;2022;11:44:00 a. m.;AM;503.616,47;504.250,92;  ;  ; MA 
SRM33;Pozo Joya 2;Operacion Correcta;30/6/22;30;6;2022;11:46:00 a. m.;AM;3.311.807,10;3.315.386,90;  ;  ; MA 
HM13;"Pozo Joya 3 (8"")";Operacion Correcta;30/6/22;30;6;2022;12:00:00 p. m.;AM;2.333.977,00;2.348.345,00;35,1;  ; MA 
SRM30;"Pozo Santiago ( 8"" )";Operacion Correcta;30/6/22;30;6;2022;7:53:00 a. m.;AM;1.517.858,00;1.535.442,00;29,8;  ; MA 
SRM25;"Pozo Burial       ( 6"" )";Operacion Correcta;30/6/22;30;6;2022;8:03:00 a. m.;AM;1.527.325,00;1.540.507,00;  ;  ; MA 
SRM12;"Pozo Highland Ranch (3"")";Operacion Correcta;30/6/22;30;6;2022;8:22:00 a. m.;AM;597.744,00;607.532,00;  ;30,55; MA 
SIM04;Pozo Santa Cruz I        ;Operacion Correcta;30/6/22;30;6;2022;8:12:00 a. m.;AM;1.624.457,40;1.631.622,00;  ;  ; MA 
SIM02;"Pozo Santa Cruz II (8"")";Macromedidor en mal estado;30/6/22;30;6;2022;8:13:00 a. m.;AM;1.153.937,00;;  ;  ; MA 
SIM12;"Mata Maiz Llegando al Tanque 4""";Operacion Correcta;30/6/22;30;6;2022;8:42:00 a. m.;AM;580.836,00;611.471,00;9,1;12,78; MA 
